"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
48,NA,NA,NA,NA,155,NA,243,NA,264,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,1029,NA,1074,1098,NA,NA,NA,NA,1230,1261,NA,NA,NA,1419,1431,NA,NA,1623,1644,1701,1741,NA,1761,1768,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2313,2314,NA,2369,NA,2415,2454,2462,2465,NA,2475,2476,2583,2585
49,9,30,31,88,232,233,247,259,NA,294,295,NA,445,483,NA,514,NA,536,NA,548,567,581,591,632,NA,657,721,738,756,875,1016,1018,1065,1067,1097,1099,1118,1127,1142,NA,1260,1262,1296,1341,1366,1430,1542,1543,1622,NA,1679,NA,NA,1760,1767,1785,1794,1805,NA,1883,1938,1977,2014,2015,NA,2168,NA,2200,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,2454,NA,NA,NA,NA,2579,NA,NA
50,1,10,31,NA,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,NA,496,NA,534,NA,NA,NA,568,582,592,NA,NA,715,NA,NA,NA,976,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,NA,NA,NA,NA,NA,NA,NA,2176,NA,NA,NA,NA,NA,NA,2363,NA,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,9,30,76,83,NA,233,NA,259,NA,293,425,NA,451,483,NA,514,NA,536,547,548,567,581,591,632,645,660,721,736,NA,975,1017,1025,NA,1067,NA,NA,1120,1127,1144,NA,1260,NA,1296,1363,1366,1430,1542,1544,1573,NA,NA,NA,NA,1757,1767,NA,1787,1824,1882,1910,1938,1977,2014,2143,2155,2168,NA,2223,NA,NA,NA,2299,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
52,9,30,57,77,NA,242,NA,259,NA,293,308,NA,NA,480,NA,514,NA,534,NA,560,NA,580,591,593,656,678,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1142,NA,NA,NA,1296,1363,1370,NA,NA,1555,1570,NA,NA,NA,NA,1756,NA,NA,1787,NA,NA,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,76,101,NA,233,NA,256,NA,293,426,NA,466,483,484,514,NA,536,547,548,567,581,591,632,644,658,721,735,NA,975,1017,1018,NA,1067,NA,NA,1126,1127,1213,1218,1260,NA,1296,1365,1366,1430,1542,1553,1573,NA,NA,NA,NA,1742,1767,1786,1795,1824,1882,1909,1938,1978,2014,2143,2155,2168,NA,2223,NA,NA,NA,2289,NA,NA,2364,NA,2413,NA,2451,NA,NA,2467,NA,2560,NA,NA
54,9,30,76,87,NA,233,NA,259,NA,293,426,NA,466,483,NA,514,NA,536,547,548,NA,581,591,632,656,669,721,736,NA,975,1017,1025,NA,1067,NA,NA,1125,1127,1160,NA,1260,NA,1296,1363,1366,1430,1542,1553,1572,NA,NA,NA,NA,1742,1767,NA,1787,1824,1882,1910,1938,NA,2014,2143,2155,2168,NA,2223,NA,NA,NA,2299,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
55,NA,30,31,NA,232,NA,247,259,NA,294,NA,NA,444,NA,495,507,533,536,NA,NA,567,581,587,632,NA,657,721,738,756,757,NA,1018,1065,1067,1092,1099,NA,NA,1142,NA,1225,1262,1296,1297,NA,1420,1479,1543,1622,1643,1679,1734,NA,1760,1761,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2165,NA,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,NA,NA,NA,2579,NA,NA
56,NA,30,75,91,NA,233,NA,259,NA,294,426,NA,451,483,494,514,NA,536,547,548,567,581,591,632,644,657,721,738,756,975,1017,1018,1065,1067,1097,1099,1125,1127,1186,1218,1260,1262,1296,1363,1366,1430,1542,1543,1622,NA,NA,NA,NA,1757,1767,1786,1795,1824,1881,1908,1938,1977,2014,2039,2155,2168,NA,2223,2254,2267,NA,2289,NA,NA,2364,2365,2413,NA,2451,NA,NA,2467,NA,2579,NA,NA
57,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,536,NA,548,NA,581,591,594,656,660,721,738,NA,975,987,1028,NA,1067,NA,NA,1100,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1818,NA,1933,1934,NA,1979,2049,NA,2168,NA,2182,NA,NA,NA,2300,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,2579,NA,NA
58,NA,NA,37,92,232,NA,247,259,NA,294,NA,434,445,483,494,NA,533,536,547,548,567,581,589,632,633,657,721,730,756,772,1017,1018,1065,1067,1097,1099,1125,NA,1200,1222,1249,1262,1296,1297,1366,1430,1542,1543,1622,1643,1677,1734,1741,1760,1767,1786,1795,1850,1870,1883,1938,1977,2014,2015,2154,2156,2175,2211,2254,2267,2288,NA,2313,2339,2340,2365,2413,2415,2454,NA,2466,2468,2475,2560,NA,NA
59,NA,30,46,89,232,233,247,259,NA,294,425,NA,450,483,494,514,NA,536,547,548,567,581,591,632,641,657,721,738,756,975,1017,1018,1065,1067,1097,1099,1125,1127,1184,1218,1260,1262,1296,1342,1366,1430,1542,1543,1622,NA,1677,NA,NA,1760,1767,1786,1795,1824,1871,1907,1938,1977,2014,2015,2155,2168,NA,2223,2254,2267,2288,2289,NA,NA,2342,2365,2413,2415,2451,NA,NA,2467,NA,2579,NA,NA
60,NA,NA,37,NA,232,NA,247,249,263,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,589,632,NA,657,NA,724,756,773,NA,1018,1065,1067,1097,1099,NA,NA,1200,1222,1241,1262,NA,1297,NA,1426,1502,1543,1622,1643,1676,1734,1741,1760,1761,1786,NA,1850,NA,1883,NA,1975,NA,2015,NA,2156,2175,2211,2254,2256,2288,NA,2313,2339,2340,2365,NA,2415,2454,2462,2466,2469,2475,2478,2583,2584
61,NA,NA,76,120,NA,233,NA,253,NA,285,426,NA,NA,468,NA,NA,NA,536,547,555,NA,NA,NA,632,656,714,721,735,NA,975,1017,NA,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,NA,1365,1394,NA,NA,1557,1562,NA,NA,NA,NA,1742,NA,NA,1798,NA,1882,NA,1938,NA,2011,2142,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,9,30,57,77,NA,242,NA,259,NA,293,295,NA,NA,481,NA,514,NA,534,NA,560,NA,581,591,593,656,669,721,736,NA,975,985,1028,NA,1067,NA,NA,1100,1128,1142,NA,1260,NA,1296,1363,1366,1430,NA,1553,1572,NA,NA,NA,NA,1757,1767,NA,1787,1819,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,2579,NA,NA
